1_ae-12a_000020-000053	0_4d3528bc8e13d3761e75401cf28cc699
1_ae-161a_000022-000047	0_56d78c566dd96d2a5be8fb08552231dd
1_ae-161a_000081-000120	0_14e5f70223e054f55753a8d41c73bbef
1_ae-18174a_000019-000043	0_8aa99dcf3fdb48367ef040bc1227d8ea
1_ae-18174a_000059-000094	0_3449d974c7349fdf45076d9b51ecc9e7
1_ae-1986a_000021-000045	1_00768e54490a72759ed0a353b2936fe2
1_ae-1a_000020-000066	1_009a88ac407908c440d6775b63170b8b
1_ae-1b_000020-000067	0_d3a41d5ee99283bd8f8aeb3ea802b589
1_ae-1z88153a_000021-000045	1_00a8a4a092d51adc9a277700427fd335
1_ae-1z88153a_000129-000154	0_010f8bd4ac7bd5638166768e0e6ed372
1_ae-2364213a_000150-000179	0_0262face0c1057b4ec5db9515c086855
1_ae-3713466a_000099-000137	0_cd45521d0b7f34e753337e00574b96a7
1_ae-52251a_000147-000191	1_013f41e302f9c1526ee34411d4580fe3
1_ae-6711a_000096-000123	1_01e2ee809e3e5a63401e0564473853b2
1_ae-6711a_000122-000161	1_0051b511d7071232f9b5181b4927e7c5
1_ae-6851243a_000144-000173	1_02a136df15773ec2ccace7e84e8011e5
1_ae-8397261a_000194-000230	1_0304ebac27fa9fc18460abc9ac1b27df
1_ae-8z1a_000078-000122	1_04a71d84fccc32f80c00fe6d5d7c136a
1_ae-91955a_000050-000085	1_016dbebbc65e9d637efbb71b07519262
1_ae-o5o1oa_000096-000128	1_0155d1a78b6ec5de1a7991022cea9d00
1_ae-z1a_000061-000107	1_02e75e9047c4b4b2f26bd3c0a0348406
1_ae-z541a_000119-000167	1_02f3a9b2f6f52bd6b0f3a151d6a7376b
1_ae-z9z6531a_000237-000276	1_0416a412653cfd40722999ae75fcd03d
1_ag-14a_000020-000045	3_4a681fc86f8fe3c800446552126729b7
1_ag-1528a_000020-000047	1_016efc4f34932930c2cd38c35a865833
1_ag-1736za_000019-000044	0_32ad500d4f1282185d4a79c66e650eab
1_ag-179o7a_000019-000045	1_018bf437aaec2801908cafd6226124a6
1_ag-1a_000019-000065	1_05797bd458fba918492170a0b5ba7761
1_ag-1b_000020-000067	1_05d07b5ca7a6b7c252a0b3da205ccd53
1_ag-1o2a_000020-000045	1_019857dfc675107485435fb8e709cbdb
1_ag-213ooa_000043-000073	1_06b3b689a8be8a1e208d0d8a10f3b4ea
1_ag-251o4a_000070-000115	1_04d89d42db14351c570ac31ac11ca0ac
1_ag-2oo1o83a_000100-000135	1_07180678c13023b2741c98e140068bfb
1_ag-31za_000044-000070	1_0750b3942a1aab681e4937cc379e9b24
1_ag-451a_000070-000120	1_06413edc0a47f37b9e06961c6e38db1a
1_ag-64122z1a_000097-000149	1_08a1664fc1d8f03c2f040803a82f673c
1_ag-64122z1a_000258-000305	1_07282ece9adea7b7f5f6ffd90697abe9
1_ag-7712719a_000093-000140	1_08ca6771d98f5e81fd0d772fddb6d8d9
1_ag-7712719a_000200-000225	0_3f8e5ca56e2fd7e139a6f1e4cc504dcf
1_ag-81465o1a_000043-000068	1_0956a5be76a0f3c5168a94522e7f3d57
1_ag-81465o1a_000196-000243	1_08d3a7761edd5e9ee87df1cb88bc6948
1_ag-8613a_000079-000101	1_0aadab4653846433d14a7a9a1d3b245d
1_ag-9731925a_000125-000153	1_01d5a277bb8721eb4cec64a8d2669056
1_ag-o6169a_000089-000122	1_0245f0cb1a3ce2a1cdc7b7241acc2310
1_ag-z811a_000113-000145	1_0274b7dd229d969ee77401d4bdbb739b
1_ag-z811a_000144-000190	1_0ac5ffda66a1fb61e61c1da2ef47d53c
1_ai-1363a_000049-000075	1_028cc106a9169fc9a029010133ae952f
1_ai-1532oa_000021-000050	1_09298b56ebc460f73de70410f85cf55e
1_ai-156267za_000020-000052	1_02cfcedfcb3c3fce0a112ada869c6087
1_ai-173z1a_000019-000045	1_03169c9756bb2074e3a2660618eacd66
1_ai-173z1a_000186-000229	1_0bba93cd108531d3270b869e84ee30fa
1_ai-1a_000020-000063	1_04c0e2ebd4d4911e9b3df77f814af9f6
1_ai-1b_000019-000066	1_04edec7997994f748d125749beb27465
1_ai-1z17a_000021-000050	1_05398f82594807351bea116112a1804a
1_ai-1z17a_000094-000125	1_0ce23dd2e5f6db0c427a8ce1d3c5c48b
1_ai-212a_000061-000093	1_057cde00130118d8673626ad4ee5bd99
1_ai-2411a_000081-000112	1_0998e91997e17dde1c8a8a41bdf18be6
1_ai-2411a_000111-000156	1_0d161f3df5e7facee30bc565dc6c03cf
1_ai-31a_000066-000110	0_42cc3d4d0b4cf6bcb3fb0cebfd706414
1_ai-531z766a_000084-000135	1_0d2ce466021a3a6306f3b82fd463630f
1_ai-7794971a_000246-000285	0_847314e134898b0a3ab0abc34b204b98
1_ai-812a_000048-000082	1_0d6cc2a7b417d536c331d2ed3cda3763
1_ai-81a_000042-000090	1_0dc11ddec4d5a18b1208f0028306131b
1_ai-8o3o511a_000215-000243	0_30478c14d2c9b4b824fbdf1416287d9a
1_ai-8o3o511a_000242-000288	1_059a8accea078837f8ff6d93b2051c13
